LotArea,Neighborhood,BldgType,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,MoSold,YrSold,SalePrice,Siding
8450,CollgCr,1Fam,2003,2003,196.0,856,Y,856,854,1710,1,0,2,1,3,1,8,0,Attchd,2003.0,2,548,2,2008,208500,VinylSd
9600,Veenker,1Fam,1976,1976,0.0,1262,Y,1262,0,1262,0,1,2,0,3,1,6,1,Attchd,1976.0,2,460,5,2007,181500,MetalSd
11250,CollgCr,1Fam,2001,2002,162.0,920,Y,920,866,1786,1,0,2,1,3,1,6,1,Attchd,2001.0,2,608,9,2008,223500,VinylSd
9550,Crawfor,1Fam,1915,1970,0.0,756,Y,961,756,1717,1,0,1,0,3,1,7,1,Detchd,1998.0,3,642,2,2006,140000,Wd Sdng
14260,NoRidge,1Fam,2000,2000,350.0,1145,Y,1145,1053,2198,1,0,2,1,4,1,9,1,Attchd,2000.0,3,836,12,2008,250000,VinylSd
14115,Mitchel,1Fam,1993,1995,0.0,796,Y,796,566,1362,1,0,1,1,1,1,5,0,Attchd,1993.0,2,480,10,2009,143000,VinylSd
10084,Somerst,1Fam,2004,2005,186.0,1686,Y,1694,0,1694,1,0,2,0,3,1,7,1,Attchd,2004.0,2,636,8,2007,307000,VinylSd
10382,NWAmes,1Fam,1973,1973,240.0,1107,Y,1107,983,2090,1,0,2,1,3,1,7,2,Attchd,1973.0,2,484,11,2009,200000,HdBoard
11200,Sawyer,1Fam,1965,1965,0.0,1040,Y,1040,0,1040,1,0,1,0,3,1,5,0,Detchd,1965.0,1,384,2,2008,129500,HdBoard
12968,Sawyer,1Fam,1962,1962,0.0,912,Y,912,0,912,1,0,1,0,2,1,4,0,Detchd,1962.0,1,352,9,2008,144000,HdBoard
10652,CollgCr,1Fam,2006,2007,306.0,1494,Y,1494,0,1494,0,0,2,0,3,1,7,1,Attchd,2006.0,3,840,8,2007,279500,VinylSd
10920,NAmes,1Fam,1960,1960,212.0,1253,Y,1253,0,1253,1,0,1,1,2,1,5,1,Attchd,1960.0,1,352,5,2008,157000,MetalSd
6120,BrkSide,1Fam,1929,2001,0.0,832,Y,854,0,854,0,0,1,0,2,1,5,0,Detchd,1991.0,2,576,7,2007,132000,Wd Sdng
11241,NAmes,1Fam,1970,1970,180.0,1004,Y,1004,0,1004,1,0,1,0,2,1,5,1,Attchd,1970.0,2,480,3,2010,149000,Wd Sdng
13695,SawyerW,1Fam,2004,2004,0.0,1114,Y,1114,0,1114,1,0,1,1,3,1,6,0,Detchd,2004.0,2,576,6,2008,159000,VinylSd
7560,NAmes,1Fam,1958,1965,0.0,1029,Y,1339,0,1339,0,0,1,0,3,1,6,0,Attchd,1958.0,1,294,5,2009,139000,BrkFace
14215,NridgHt,1Fam,2005,2006,380.0,1158,Y,1158,1218,2376,0,0,3,1,4,1,9,1,BuiltIn,2005.0,3,853,11,2006,325300,VinylSd
